date,company,ticker,cusip,change,new_shares
2/22/2021,TESLA INC,TSLA,88160R101,29758.0,552578.00
2/22/2021,BAIDU INC - SPON ADR,BIDU,056752108,3224.0,703676.00
2/22/2021,DEERE & CO,DE,244199105,2592.0,565591.00
2/22/2021,TRIMBLE INC,TRMB,896239100,11512.0,2512567.00
2/22/2021,JD.COM INC-ADR,JD,47215P106,8228.0,1795774.00
2/22/2021,KRATOS DEFENSE & SECURITY,KTOS,50077B207,23440.0,5115933.00
2/22/2021,ALPHABET INC-CL C,GOOG,02079K107,332.0,72352.00
2/22/2021,TERADYNE INC,TER,880770102,5084.0,1109314.00
2/22/2021,NXP SEMICONDUCTORS NV,NXPI,N6596X109,3176.0,693131.00
2/22/2021,KOMATSU LTD -SPONS ADR,KMTUY,500458401,18160.0,3963362.00
2/22/2021,CATERPILLAR INC,CAT,149123101,2384.0,520311.00
2/22/2021,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3564.0,777574.00
2/22/2021,LOCKHEED MARTIN CORP,LMT,539830109,1360.0,296226.00
2/22/2021,NVIDIA CORP,NVDA,67066G104,796.0,173347.00
2/22/2021,NANO DIMENSION LTD - ADR,NNDM,63008G203,34636.0,7559513.00
2/22/2021,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,9748.0,2127703.00
2/22/2021,TELEDYNE TECHNOLOGIES INC,TDY,879360105,1064.0,232277.00
2/22/2021,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,6668.0,1455242.00
2/22/2021,WORKHORSE GROUP INC,WKHS,98138J206,12064.0,2632271.00
2/22/2021,SYNOPSYS INC,SNPS,871607107,1436.0,313384.00
2/22/2021,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,7404.0,1615926.00
2/22/2021,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,7964.0,1737591.00
2/22/2021,MAGNA INTERNATIONAL INC,MGA,559222401,3568.0,778472.00
2/22/2021,INTUITIVE SURGICAL INC,ISRG,46120E602,396.0,86898.00
2/22/2021,RAVEN INDUSTRIES INC,RAVN,754212108,5941.0,1193529.00
2/22/2021,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2508.0,547008.00
2/22/2021,AMAZON.COM INC,AMZN,023135106,64.0,14196.00
2/22/2021,FLIR SYSTEMS INC,FLIR,302445101,3680.0,802833.00
2/22/2021,ROCKWELL AUTOMATION INC,ROK,773903109,804.0,175177.00
2/22/2021,XILINX INC,XLNX,983919101,1472.0,321230.00
2/22/2021,PACCAR INC,PCAR,693718108,1928.0,420576.00
2/22/2021,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,720.0,157219.00
2/22/2021,ELBIT SYSTEMS LTD,ESLT,M3760D101,1292.0,281986.00
2/22/2021,APPLE INC,AAPL,037833100,1328.0,289818.00
2/22/2021,AUTODESK INC,ADSK,052769106,496.0,108372.00
2/22/2021,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,174292.0,1869138.00
2/22/2021,VUZIX CORP,VUZI,92921W300,1344.0,293435.00
2/22/2021,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,1776.0,387670.00
2/22/2021,SPLUNK INC,SPLK,848637104,8.0,1307.00
